tournament_year,team_code,avg_team_age,is_host,strength_pre,matches_group,wins,draws,losses,goals_for,goals_against,clean_sheet,points,goal_diff,avg_goals_for,avg_goals_against,win_ratio,y_ord,y_label,split
2010,USA,27.27363628247478,0,0.07142857142857142,3,1,2,0,4,3,1,5,1,1.3333333333333333,1.0,0.3333333333333333,1,R16,train
2010,ZAF,27.313513674374313,1,,3,1,1,1,3,5,0,4,-2,1.0,1.6666666666666667,0.3333333333333333,0,Group,train
2014,ARG,28.921108234383833,0,0.2,3,3,0,0,6,3,1,9,3,2.0,1.0,1.0,4,Final,train
2014,AUS,26.363241377257985,0,0.016129032258064516,3,0,0,3,3,9,0,0,-6,1.0,3.0,0.0,0,Group,train
2014,BEL,25.958753682706902,0,0.09090909090909091,3,3,0,0,4,1,2,9,3,1.3333333333333333,0.3333333333333333,1.0,2,QF,train
2014,BIH,27.057465107282088,0,0.047619047619047616,3,1,0,2,4,4,0,3,0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0,Group,train
2014,BRA,28.359610749040268,1,0.3333333333333333,3,2,1,0,7,2,1,7,5,2.3333333333333335,0.6666666666666666,0.6666666666666666,3,SF,train
2014,CHE,26.067315418266226,0,,3,2,0,1,7,6,1,6,1,2.3333333333333335,2.0,0.6666666666666666,1,R16,train
2014,CHL,27.995714668333186,0,,3,2,0,1,5,3,1,6,2,1.6666666666666667,1.0,0.6666666666666666,1,R16,train
2014,CIV,27.830610362170045,0,0.043478260869565216,3,1,0,2,4,5,0,3,-1,1.3333333333333333,1.6666666666666667,0.3333333333333333,0,Group,train
2014,CMR,26.59714906407166,0,0.017857142857142856,3,0,0,3,1,9,0,0,-8,0.3333333333333333,3.0,0.0,0,Group,train
2014,COL,27.47123768711127,0,0.125,3,3,0,0,9,2,1,9,7,3.0,0.6666666666666666,1.0,2,QF,train
2014,CRI,27.43409814599887,0,,3,2,1,0,4,1,2,7,3,1.3333333333333333,0.3333333333333333,0.6666666666666666,2,QF,train
2014,DEU,26.18754277891855,0,,3,2,1,0,7,2,2,7,5,2.3333333333333335,0.6666666666666666,0.6666666666666666,5,Winner,train
2014,DZA,26.598934618932834,0,,3,1,1,1,6,5,0,4,1,2.0,1.6666666666666667,0.3333333333333333,1,R16,train
2014,ECU,27.730381215962858,0,0.038461538461538464,3,1,1,1,3,3,1,4,0,1.0,1.0,0.3333333333333333,0,Group,train
2014,ENG,26.567151742403954,0,0.1,3,0,1,2,2,4,1,1,-2,0.6666666666666666,1.3333333333333333,0.0,0,Group,train
2014,ESP,28.250929976490195,0,1.0,3,1,0,2,4,7,1,3,-3,1.3333333333333333,2.3333333333333335,0.3333333333333333,0,Group,train
2014,FRA,26.837722822367052,0,0.058823529411764705,3,2,1,0,8,2,2,7,6,2.6666666666666665,0.6666666666666666,0.6666666666666666,2,QF,train
2014,GHA,25.451298991161504,0,0.02702702702702703,3,0,1,2,4,6,0,1,-2,1.3333333333333333,2.0,0.0,0,Group,train
2014,GRC,28.50602624765646,0,,3,1,1,1,2,4,1,4,-2,0.6666666666666666,1.3333333333333333,0.3333333333333333,1,R16,train
2014,HND,28.594351694789157,0,,3,0,0,3,1,8,0,0,-7,0.3333333333333333,2.6666666666666665,0.0,0,Group,train
2014,HRV,27.364461506413114,0,,3,1,0,2,6,6,1,3,0,2.0,2.0,0.3333333333333333,0,Group,train
2014,IRN,28.49983632413773,0,0.023255813953488372,3,0,1,2,1,4,1,1,-3,0.3333333333333333,1.3333333333333333,0.0,0,Group,train
2014,ITA,27.90310388953367,0,0.1111111111111111,3,1,0,2,2,3,0,3,-1,0.6666666666666666,1.0,0.3333333333333333,0,Group,train
2014,JPN,27.31815611701336,0,0.021739130434782608,3,0,1,2,2,6,1,1,-4,0.6666666666666666,2.0,0.0,0,Group,train
2014,KOR,26.19444692438175,0,0.017543859649122806,3,0,1,2,3,6,0,1,-3,1.0,2.0,0.0,0,Group,train
2014,MEX,27.25756628872422,0,0.05,3,2,1,0,4,1,2,7,3,1.3333333333333333,0.3333333333333333,0.6666666666666666,1,R16,train
2014,NGA,25.807100556497932,0,0.022727272727272728,3,1,1,1,3,3,2,4,0,1.0,1.0,0.3333333333333333,1,R16,train
2014,NLD,26.466565485224532,0,,3,3,0,0,10,3,1,9,7,3.3333333333333335,1.0,1.0,3,SF,train
2014,PRT,28.528643275897984,0,,3,1,1,1,4,7,0,4,-3,1.3333333333333333,2.3333333333333335,0.3333333333333333,0,Group,train
2014,RUS,27.481117757343096,0,0.05263157894736842,3,0,2,1,2,3,0,2,-1,0.6666666666666666,1.0,0.0,0,Group,train
2014,URY,28.548879564324615,0,,3,2,0,1,4,4,1,6,0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1,R16,train
2014,USA,27.81073118471565,0,0.07692307692307693,3,1,1,1,4,4,0,4,0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1,R16,train
2018,ARG,29.52057851977502,0,0.2,3,1,1,1,3,5,0,4,-2,1.0,1.6666666666666667,0.3333333333333333,1,R16,test
2018,AUS,28.134392762550963,0,0.027777777777777776,3,0,1,2,2,5,0,1,-3,0.6666666666666666,1.6666666666666667,0.0,0,Group,test
2018,BEL,27.5853941612356,0,0.3333333333333333,3,3,0,0,9,2,2,9,7,3.0,0.6666666666666666,1.0,3,SF,test
2018,BRA,28.60423176502098,0,0.5,3,2,1,0,5,1,2,7,4,1.6666666666666667,0.3333333333333333,0.6666666666666666,2,QF,test
2018,CHE,27.182930095527187,0,,3,1,2,0,5,4,0,5,1,1.6666666666666667,1.3333333333333333,0.3333333333333333,1,R16,test
2018,COL,28.394607624319256,0,0.0625,3,2,0,1,5,2,2,6,3,1.6666666666666667,0.6666666666666666,0.6666666666666666,1,R16,test
2018,CRI,29.77805553075618,0,,3,0,1,2,2,5,0,1,-3,0.6666666666666666,1.6666666666666667,0.0,0,Group,test
2018,DEU,27.13876737196084,0,,3,1,0,2,2,4,0,3,-2,0.6666666666666666,1.3333333333333333,0.3333333333333333,0,Group,test
2018,DNK,27.14352885159063,0,,3,1,2,0,2,1,2,5,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,R16,test
2018,EGY,28.980983840728506,0,0.022222222222222223,3,0,0,3,2,6,0,0,-4,0.6666666666666666,2.0,0.0,0,Group,test
2018,ENG,26.05029312858971,0,0.08333333333333333,3,2,0,1,8,3,0,6,5,2.6666666666666665,1.0,0.6666666666666666,3,SF,test
2018,ESP,28.48805166205398,0,0.1,3,1,2,0,6,5,1,5,1,2.0,1.6666666666666667,0.3333333333333333,1,R16,test
2018,FRA,26.029937803172338,0,0.14285714285714285,3,2,1,0,3,1,2,7,2,1.0,0.3333333333333333,0.6666666666666666,5,Winner,test
2018,HRV,27.90322292652442,0,,3,3,0,0,7,1,2,9,6,2.3333333333333335,0.3333333333333333,1.0,4,Final,test
2018,IRN,27.230902002797368,0,0.02702702702702703,3,1,1,1,2,2,1,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,Group,test
2018,ISL,28.583162217659137,0,0.045454545454545456,3,0,1,2,2,5,0,1,-3,0.6666666666666666,1.6666666666666667,0.0,0,Group,test
2018,JPN,28.579948218909028,0,0.01639344262295082,3,1,1,1,4,4,0,4,0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1,R16,test
2018,KOR,27.785733416659227,0,0.017543859649122806,3,1,0,2,3,3,1,3,0,1.0,1.0,0.3333333333333333,0,Group,test
2018,MAR,27.233639853584503,0,0.024390243902439025,3,0,1,2,2,4,0,1,-2,0.6666666666666666,1.3333333333333333,0.0,0,Group,test
2018,MEX,29.243817516293188,0,0.06666666666666667,3,2,0,1,3,4,1,6,-1,1.0,1.3333333333333333,0.6666666666666666,1,R16,test
2018,NGA,25.964348421271907,0,0.020833333333333332,3,1,0,2,3,4,1,3,-1,1.0,1.3333333333333333,0.3333333333333333,0,Group,test
2018,PAN,28.86623218165045,0,0.01818181818181818,3,0,0,3,2,11,0,0,-9,0.6666666666666666,3.6666666666666665,0.0,0,Group,test
2018,PER,27.440407106508346,0,0.09090909090909091,3,1,0,2,2,2,1,3,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,Group,test
2018,POL,28.31104365681636,0,0.125,3,1,0,2,2,5,1,3,-3,0.6666666666666666,1.6666666666666667,0.3333333333333333,0,Group,test
2018,PRT,28.365919709549743,0,,3,1,2,0,5,4,1,5,1,1.6666666666666667,1.3333333333333333,0.3333333333333333,1,R16,test
2018,RUS,28.838258488825403,1,0.014285714285714285,3,2,0,1,8,4,1,6,4,2.6666666666666665,1.3333333333333333,0.6666666666666666,2,QF,test
2018,SAU,28.730172901229054,0,,3,1,0,2,2,7,0,3,-5,0.6666666666666666,2.3333333333333335,0.3333333333333333,0,Group,test
2018,SEN,26.989852096539,0,0.037037037037037035,3,1,1,1,4,4,0,4,0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0,Group,test
2018,SRB,26.76106300032735,0,0.029411764705882353,3,1,0,2,2,4,1,3,-2,0.6666666666666666,1.3333333333333333,0.3333333333333333,0,Group,test
2018,SWE,28.236764574591554,0,0.041666666666666664,3,2,0,1,5,2,2,6,3,1.6666666666666667,0.6666666666666666,0.6666666666666666,2,QF,test
2018,TUN,26.52656012855995,0,0.047619047619047616,3,1,0,2,5,8,0,3,-3,1.6666666666666667,2.6666666666666665,0.3333333333333333,0,Group,test
